Match_ID,Date,Time,League,Round,Home,Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2
d6W4m0en,13/01/2026,15:00,BRAZIL COPINHA,Play Offs,Ibrachina U20,Atletico-MG U20,Betfair,3.5,2.1,2.8,Betfair,2.88,3.1,2.3,Betfair,1.33,2.88,Betfair,2.88,1.36,Betfair,7.5,1.06,Betfair,1.02,10.0,Betfair,1.25,3.6,Betfair,1.85,1.85,Betfair,3.3,1.29,Betfair,7.0,1.07,Betfair,1.73,2.0,Betfair,1.57,1.3,1.36
QoOLqIfB,13/01/2026,15:00,BRAZIL COPINHA,Play Offs,Itaquaquecetuba U20,Uniao Mogi U20,Betfair,1.73,2.63,6.0,Betfair,1.3,4.75,6.5,Betfair,1.2,4.0,Betfair,2.2,1.6,Betfair,4.8,1.14,Betfair,1.01,17.0,Betfair,1.11,5.5,Betfair,1.45,2.55,Betfair,2.2,1.6,Betfair,3.8,1.22,Betfair,1.65,2.1,Betfair,1.07,1.14,3.0
UVCNzNBt,13/01/2026,15:00,BRAZIL COPINHA,Play Offs,Juventude U20,Aguia De Maraba U20,Betfair,1.44,3.3,9.5,Betfair,1.11,7.0,14.0,Betfair,1.13,5.2,Betfair,1.8,1.91,Betfair,3.8,1.22,,0.0,0.0,Betfair,1.05,8.0,Betfair,1.25,3.6,Betfair,1.73,2.0,,0.0,0.0,Betfair,1.85,1.85,Betfair,1.03,1.07,5.5
bB4vXvB5,13/01/2026,15:00,BRAZIL COPINHA,Play Offs,RB Bragantino U20,Comercial FC - Tiete U20,Betfair,1.67,2.8,6.5,Betfair,1.25,5.0,8.0,Betfair,1.17,4.5,Betfair,2.0,1.73,Betfair,4.5,1.17,,0.0,0.0,Betfair,1.08,6.5,Betfair,1.36,2.88,Betfair,2.0,1.73,Betfair,3.3,1.29,Betfair,1.65,2.1,Betfair,1.06,1.13,3.5
Uerrq4GD,13/01/2026,18:30,BRAZIL COPINHA,Play Offs,Fluminense U20,Referencia U20,Betfair,1.62,2.8,7.5,Betfair,1.22,5.5,9.5,Betfair,1.2,4.0,Betfair,2.1,1.65,Betfair,4.8,1.14,,0.0,0.0,Betfair,1.11,5.5,Betfair,1.4,2.75,Betfair,2.2,1.6,,0.0,0.0,Betfair,1.8,1.91,Betfair,1.05,1.13,3.75
Ai33VRZ0,13/01/2026,19:00,BRAZIL COPINHA,Play Offs,Osasco Audax U20,Santo Andre U20,Betfair,2.5,2.2,3.75,Betfair,1.91,3.3,3.5,Betfair,1.3,3.2,Betfair,2.6,1.44,Betfair,7.0,1.07,Betfair,1.01,11.0,Betfair,1.22,3.8,Betfair,1.75,1.95,Betfair,3.0,1.33,Betfair,5.5,1.11,Betfair,1.65,2.1,Betfair,1.25,1.29,1.8
MmjAnwN5,13/01/2026,19:30,BRAZIL COPINHA,Play Offs,Palmeiras U20,Vitoria U20,Betfair,1.57,3.0,7.0,Betfair,1.2,6.0,9.5,Betfair,1.14,4.8,Betfair,1.85,1.85,Betfair,4.0,1.2,,0.0,0.0,Betfair,1.06,7.5,Betfair,1.3,3.2,Betfair,1.8,1.91,Betfair,2.88,1.36,Betfair,1.6,2.2,Betfair,1.05,1.11,4.0
2qBVY0tg,13/01/2026,20:30,BRAZIL COPINHA,Play Offs,Sao Paulo U20,Portuguesa U20,Betfair,1.62,2.7,7.5,Betfair,1.22,5.0,10.0,Betfair,1.22,3.8,Betfair,2.25,1.57,Betfair,5.5,1.11,Betfair,1.01,17.0,Betfair,1.13,5.2,Betfair,1.5,2.4,Betfair,2.4,1.5,Betfair,4.5,1.17,Betfair,1.91,1.8,Betfair,1.04,1.13,3.6
hYPDovQb,13/01/2026,21:45,BRAZIL COPINHA,Play Offs,Botafogo U20,Sao Jose EC U20,Betfair,1.62,2.63,8.5,Betfair,1.2,5.5,10.5,Betfair,1.25,3.6,Betfair,2.25,1.57,Betfair,5.5,1.11,Betfair,1.01,13.0,Betfair,1.14,4.8,Betfair,1.57,2.25,Betfair,2.55,1.45,Betfair,4.8,1.14,Betfair,2.1,1.65,Betfair,1.04,1.13,4.0
f1C4Hg9s,13/01/2026,09:00,CZECH TIPSORT LIGA,-,Presov,Kromeriz,Betfair,1.8,2.8,5.0,Betfair,1.36,4.75,5.5,Betfair,1.14,4.8,Betfair,1.85,1.85,Betfair,4.0,1.2,,0.0,0.0,Betfair,1.06,7.5,Betfair,1.29,3.3,Betfair,1.8,1.91,Betfair,2.88,1.36,Betfair,1.44,2.6,Betfair,1.11,1.14,2.8
