League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Link,ID
SPAIN - LALIGA,2025-02-23,12:15,Real Madrid,Girona,1.29,6.25,8.5,https://www.radarfutebol.com/radar/girona-fc-real-madrid/12437861,12437861
PORTUGAL - LIGA PORTUGAL 2,2025-02-23,12:30,Academico Viseu,Tondela,2.75,3.0,2.5,https://www.radarfutebol.com/radar/tondela-academico-viseu-fc/12514386,12514386
PORTUGAL - LIGA PORTUGAL,2025-02-23,12:30,Estrela,Santa Clara,3.6,3.2,2.1,https://www.radarfutebol.com/radar/cf-estrela-amadora-santa-clara/12513731,12513731
PORTUGAL - LIGA PORTUGAL,2025-02-23,12:30,Arouca,SC Farense,1.9,3.4,4.2,https://www.radarfutebol.com/radar/fc-arouca-sc-farense/12513735,12513735
GERMANY - 3. LIGA,2025-02-23,12:30,VfL Osnabruck,Mannheim,2.15,3.4,3.0,https://www.radarfutebol.com/radar/sv-waldhof-mannheim-vfl-osnabruck/12525795,12525795
SWITZERLAND - SUPER LEAGUE,2025-02-23,12:30,Young Boys,Lugano,1.9,3.9,3.6,https://www.radarfutebol.com/radar/young-boys-fc-lugano/13260070,13260070
SWITZERLAND - SUPER LEAGUE,2025-02-23,12:30,Servette,Winterthur,1.33,5.25,8.0,https://www.radarfutebol.com/radar/fc-winterthur-servette-fc/13260071,13260071
NETHERLANDS - EERSTE DIVISIE,2025-02-23,12:45,Maastricht,Den Haag,3.0,3.6,2.2,https://www.radarfutebol.com/radar/mvv-maastricht-ado-den-haag/12444896,12444896
NETHERLANDS - EREDIVISIE,2025-02-23,12:45,AZ Alkmaar,Sittard,1.38,4.75,8.5,https://www.radarfutebol.com/radar/fortuna-sittard-az-alkmaar/12448332,12448332
SERBIA - SUPER LIGA,2025-02-23,13:00,Mladost,Napredak,2.02,3.1,3.5,https://www.radarfutebol.com/radar/fk-mladost-lucani-fk-napredak-krusevac/12420348,12420348
AUSTRIA - BUNDESLIGA,2025-02-23,13:00,LASK,SK Rapid,3.0,3.3,2.35,https://www.radarfutebol.com/radar/lask-sk-rapid-wien/12481054,12481054
TURKEY - 1. LIG,2025-02-23,13:00,Umraniyespor,Sakaryaspor,2.25,3.2,3.1,https://www.radarfutebol.com/radar/umraniyespor-sakaryaspor/12596461,12596461
TURKEY - SUPER LIG,2025-02-23,13:00,Trabzonspor,Gaziantep,1.65,4.1,4.33,https://www.radarfutebol.com/radar/gaziantep-fk-trabzonspor/12530742,12530742
POLAND - DIVISION 1,2025-02-23,13:00,Wisla Plock,Odra Opole,1.62,3.8,4.75,https://www.radarfutebol.com/radar/oks-odra-opole-wisla-plock/12448945,12448945
ITALY - SERIE B,2025-02-23,13:15,Salernitana,Frosinone,2.05,3.3,3.6,https://www.radarfutebol.com/radar/frosinone-salernitana/12527585,12527585
FRANCE - LIGUE 1,2025-02-23,13:15,Strasbourg,Brest,1.91,3.6,3.8,https://www.radarfutebol.com/radar/stade-brestois-rc-strasbourg/12450887,12450887
FRANCE - LIGUE 1,2025-02-23,13:15,Nice,Montpellier,1.36,5.25,7.5,https://www.radarfutebol.com/radar/nice-montpellier/12450892,12450892
FRANCE - LIGUE 1,2025-02-23,13:15,Le Havre,Toulouse,4.0,3.3,2.0,https://www.radarfutebol.com/radar/toulouse-le-havre/12451047,12451047
ENGLAND - PREMIER LEAGUE,2025-02-23,13:30,Manchester City,Liverpool,3.0,3.9,2.2,https://www.radarfutebol.com/radar/liverpool-manchester-city/12436627,12436627
