League,Date,Time,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Link,ID
ENGLAND 4,2025-04-01,15:45,Gillingham,Colchester,2.7,3.2,2.6,https://www.radarfutebol.com/radar/colchester-united-gillingham/12465104,12465104
ENGLAND 4,2025-04-01,15:45,Harrogate,Tranmere,2.63,3.1,2.63,https://www.radarfutebol.com/radar/harrogate-town-tranmere-rovers/12465105,12465105
ENGLAND 4,2025-04-01,15:45,Morecambe,Cheltenham,2.3,3.3,2.9,https://www.radarfutebol.com/radar/morecambe-cheltenham-town/12465106,12465106
ENGLAND 4,2025-04-01,15:45,Newport,Bromley,3.2,3.4,2.15,https://www.radarfutebol.com/radar/bromley-newport-county/12465109,12465109
NORTHERN IRELAND 2,2025-04-01,15:45,Carrick Rangers,Cliftonville,3.55,3.3,2.02,https://www.radarfutebol.com/radar/carrick-rangers-cliftonville-fc/13671686,13671686
ENGLAND 4,2025-04-01,15:45,Swindon,AFC Wimbledon,2.88,3.3,2.3,https://www.radarfutebol.com/radar/afc-wimbledon-swindon-town/12465108,12465108
ENGLAND 4,2025-04-01,15:45,Port Vale,Bradford City,2.55,3.1,2.8,https://www.radarfutebol.com/radar/port-vale-bradford-city/12465111,12465111
ENGLAND 5,2025-04-01,15:45,Woking,Rochdale,2.8,3.4,2.35,https://www.radarfutebol.com/radar/woking-rochdale/13437800,13437800
NORTHERN IRELAND 2,2025-04-01,15:45,Portadown,Glenavon,2.47,3.25,2.72,https://www.radarfutebol.com/radar/portadown-fc-glenavon/13671692,13671692
NORTHERN IRELAND 2,2025-04-01,15:45,Dungannon,Larne,3.0,3.25,2.27,https://www.radarfutebol.com/radar/dungannon-swifts-larne-fc/13671684,13671684
NORTHERN IRELAND 2,2025-04-01,15:45,Glentoran,Coleraine,2.6,3.05,2.7,https://www.radarfutebol.com/radar/coleraine-fc-glentoran-fc/13671690,13671690
ENGLAND 4,2025-04-01,15:45,Doncaster,Walsall,1.95,3.3,3.8,https://www.radarfutebol.com/radar/doncaster-rovers-walsall/12465110,12465110
ENGLAND 5,2025-04-01,15:45,Aldershot,AFC Fylde,1.57,3.8,5.75,https://www.radarfutebol.com/radar/afc-fylde-aldershot-town/13491549,13491549
ENGLAND 3,2025-04-01,16:00,Bristol Rovers,Birmingham,7.5,4.5,1.38,https://www.radarfutebol.com/radar/bristol-rovers-birmingham-city/12469307,12469307
PORTUGAL 1,2025-04-01,16:15,Boavista,Gil Vicente,3.9,3.25,2.05,https://www.radarfutebol.com/radar/gil-vicente-boavista/13623946,13623946
ARGENTINA COPA,2025-04-01,19:00,Banfield,Villa Mitre,1.47,3.95,6.5,https://www.radarfutebol.com/radar/villa-mitre-banfield/13676669,13676669
COLOMBIA 1,2025-04-01,20:00,Llaneros,Pereira,2.63,3.0,2.9,https://www.radarfutebol.com/radar/llaneros-fc-deportivo-pereira/13684267,13684267
COLOMBIA 1,2025-04-01,22:10,Chico,Deportes Tolima,3.75,3.0,2.2,https://www.radarfutebol.com/radar/deportes-tolima-boyaca-chico-fc/13683851,13683851
