League,Date,Time,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Link,ID
FRANCE 2,2025-04-04,15:00,Rodez,Martigues,1.42,4.75,6.5,https://www.radarfutebol.com/radar/rodez-af-fc-martigues/12450736,12450736
SAUDI ARABIA 1,2025-04-04,15:00,Al Hilal,Al Nassr,1.8,4.2,3.5,https://www.radarfutebol.com/radar/al-nassr-al-hilal/12624443,12624443
NETHERLANDS 2,2025-04-04,15:00,FC Emmen,Cambuur,3.0,3.6,2.2,https://www.radarfutebol.com/radar/sc-cambuur-fc-emmen/12441842,12441842
NETHERLANDS 2,2025-04-04,15:00,Oss,Venlo,2.9,3.5,2.25,https://www.radarfutebol.com/radar/vvv-venlo-top-oss/12441843,12441843
BELGIUM 2,2025-04-04,15:00,Beveren,Eupen,1.91,3.4,3.5,https://www.radarfutebol.com/radar/sk-beveren-kas-eupen/12448549,12448549
NETHERLANDS 1,2025-04-04,15:00,Heerenveen,Willem II,1.5,4.33,6.0,https://www.radarfutebol.com/radar/sc-heerenveen-willem-ii-tilburg/12441740,12441740
NETHERLANDS 2,2025-04-04,15:00,Vitesse,Jong AZ,1.91,4.2,3.1,https://www.radarfutebol.com/radar/jong-az-alkmaar-vitesse/12441847,12441847
BELGIUM 2,2025-04-04,15:00,Patro Eisden,RWDM,2.75,3.3,2.35,https://www.radarfutebol.com/radar/rwd-molenbeek-patro-eisden-maasmechelen/12448603,12448603
NETHERLANDS 2,2025-04-04,15:00,Maastricht,Excelsior,5.0,4.5,1.53,https://www.radarfutebol.com/radar/mvv-maastricht-excelsior/12441846,12441846
NETHERLANDS 2,2025-04-04,15:00,FC Volendam,Jong PSV,1.22,7.0,8.5,https://www.radarfutebol.com/radar/jong-psv-eindhoven-fc-volendam/12441850,12441850
SWITZERLAND 2,2025-04-04,15:15,Aarau,Lausanne Ouchy,1.83,3.5,4.0,https://www.radarfutebol.com/radar/fc-stade-lausanne-ouchy-fc-aarau/13262738,13262738
SWITZERLAND 2,2025-04-04,15:15,Thun,Schaffhausen,1.32,4.9,8.5,https://www.radarfutebol.com/radar/schaffhausen-fc-thun/13262735,13262735
SPAIN 2,2025-04-04,15:30,Castellon,Albacete,1.8,3.75,4.2,https://www.radarfutebol.com/radar/cd-castellon-albacete-balompie/12467419,12467419
ITALY 2,2025-04-04,15:30,Reggiana,Cremonese,3.9,3.3,1.95,https://www.radarfutebol.com/radar/reggiana-cremonese/12527757,12527757
POLAND 1,2025-04-04,15:30,Widzew Lodz,Lechia Gdansk,2.25,3.3,3.1,https://www.radarfutebol.com/radar/ks-lechia-gdansk-widzew-lodz/12400528,12400528
POLAND 2,2025-04-04,15:30,Kotwica Kolobrzeg,Arka Gdynia,7.0,4.1,1.4,https://www.radarfutebol.com/radar/kotwica-kolobrzeg-mzks-arka-gdynia/12448927,12448927
IRELAND 2,2025-04-04,15:45,Cobh Ramblers,Wexford,1.62,3.6,5.2,https://www.radarfutebol.com/radar/wexford-fc-cobh-ramblers-fc/13366777,13366777
IRELAND 2,2025-04-04,15:45,Treaty United,Kerry,2.0,3.3,3.5,https://www.radarfutebol.com/radar/kerry-fc-treaty-united-fc/13366781,13366781
IRELAND 1,2025-04-04,15:45,St. Patricks,Shelbourne,1.95,3.2,4.2,https://www.radarfutebol.com/radar/shelbourne-st-patricks-athletic/13250728,13250728
IRELAND 2,2025-04-04,15:45,Finn Harps,Longford,1.65,3.6,4.75,https://www.radarfutebol.com/radar/finn-harps-longford-town/13366779,13366779
IRELAND 2,2025-04-04,15:45,Athlone,Bray,2.05,3.25,3.45,https://www.radarfutebol.com/radar/athlone-town-bray-wanderers/13366775,13366775
FRANCE 1,2025-04-04,15:45,Nice,Nantes,1.5,4.2,6.5,https://www.radarfutebol.com/radar/nice-nantes/12450188,12450188
IRELAND 1,2025-04-04,15:45,Drogheda,Waterford,2.25,3.2,3.4,https://www.radarfutebol.com/radar/waterford-fc-drogheda-united/13250724,13250724
IRELAND 1,2025-04-04,15:45,Derry City,Cork City,1.5,3.9,7.5,https://www.radarfutebol.com/radar/cork-city-derry-city/13250723,13250723
ITALY 1,2025-04-04,15:45,Genoa,Udinese,2.55,2.9,3.1,https://www.radarfutebol.com/radar/genoa-udinese/12501560,12501560
BELGIUM 1,2025-04-04,15:45,KV Mechelen,Dender,1.85,3.6,4.0,https://www.radarfutebol.com/radar/fcv-dender-kv-mechelen/13631403,13631403
IRELAND 1,2025-04-04,15:45,Galway,Shamrock Rovers,3.6,3.0,2.25,https://www.radarfutebol.com/radar/galway-united-shamrock-rovers/13250726,13250726
ENGLAND 2,2025-04-04,16:00,Blackburn,Middlesbrough,2.8,3.4,2.4,https://www.radarfutebol.com/radar/blackburn-rovers-middlesbrough/12465096,12465096
SPAIN 1,2025-04-04,16:00,Rayo Vallecano,Espanyol,1.73,3.5,5.25,https://www.radarfutebol.com/radar/rayo-vallecano-espanyol/12437888,12437888
